location,city,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours
"BTM Layout, Bengaluru - KSPCB",Bengaluru,IN,co,910.0,2018-02-22 03:00:00+00:00,µg/m³,CPCB,12.912811,77.60922,0.25
"BTM Layout, Bengaluru - KSPCB",Bengaluru,IN,no2,131.87,2018-02-22 03:00:00+00:00,µg/m³,CPCB,12.912811,77.60922,0.25
"BTM Layout, Bengaluru - KSPCB",Bengaluru,IN,o3,15.57,2018-02-22 03:00:00+00:00,µg/m³,CPCB,12.912811,77.60922,0.25
"BTM Layout, Bengaluru - KSPCB",Bengaluru,IN,pm25,45.62,2018-02-22 03:00:00+00:00,µg/m³,CPCB,12.912811,77.60922,0.25
"BTM Layout, Bengaluru - KSPCB",Bengaluru,IN,so2,4.49,2018-02-22 03:00:00+00:00,µg/m³,CPCB,12.912811,77.60922,0.25
"BWSSB Kadabesanahalli, Bengaluru - KSPCB",Bengaluru,IN,co,840.0,2018-02-22 03:00:00+00:00,µg/m³,CPCB,12.938906,77.69727,0.25
"BWSSB Kadabesanahalli, Bengaluru - KSPCB",Bengaluru,IN,no2,166.55,2018-02-22 03:00:00+00:00,µg/m³,CPCB,12.938906,77.69727,0.25
BWSSB Kadabesanahalli,Bengaluru,IN,o3,17.11,2017-02-12 01:45:00+00:00,µg/m³,CPCB,12.938906,77.69727,0.25
"BWSSB Kadabesanahalli, Bengaluru - KSPCB",Bengaluru,IN,pm25,40.94,2018-02-22 03:00:00+00:00,µg/m³,CPCB,12.938906,77.69727,0.25
"BWSSB Kadabesanahalli, Bengaluru - KSPCB",Bengaluru,IN,so2,6.63,2018-02-22 03:00:00+00:00,µg/m³,CPCB,12.938906,77.69727,0.25
City Railway Station - KSPCB,Bengaluru,IN,co,1510.0,2018-02-22 03:00:00+00:00,µg/m³,CPCB,12.977347,77.570694,0.25
City Railway Station - KSPCB,Bengaluru,IN,no2,46.86,2018-02-22 03:00:00+00:00,µg/m³,CPCB,12.977347,77.570694,0.25
City Railway Station - KSPCB,Bengaluru,IN,pm10,218.44,2018-02-22 03:00:00+00:00,µg/m³,CPCB,12.977347,77.570694,0.25
City Railway Station - KSPCB,Bengaluru,IN,so2,5.88,2018-02-21 13:30:00+00:00,µg/m³,CPCB,12.977347,77.570694,0.25
SaneguravaHalli - KSPCB,Bengaluru,IN,co,330.0,2018-02-21 23:45:00+00:00,µg/m³,CPCB,12.99167,77.54583,0.25
SaneguravaHalli - KSPCB,Bengaluru,IN,no2,23.67,2018-02-21 23:45:00+00:00,µg/m³,CPCB,12.99167,77.54583,0.25
SaneguravaHalli - KSPCB,Bengaluru,IN,pm10,64.75,2018-02-21 23:45:00+00:00,µg/m³,CPCB,12.99167,77.54583,0.25
SaneguravaHalli - KSPCB,Bengaluru,IN,so2,3.88,2018-02-21 23:45:00+00:00,µg/m³,CPCB,12.99167,77.54583,0.25
IIT,Chennai,IN,co,850.0,2018-02-22 03:45:00+00:00,µg/m³,CPCB,12.992514,80.23745,0.25
IIT,Chennai,IN,no2,6.13,2018-02-22 03:45:00+00:00,µg/m³,CPCB,12.992514,80.23745,0.25
IIT,Chennai,IN,o3,19.79,2018-02-22 03:45:00+00:00,µg/m³,CPCB,12.992514,80.23745,0.25
